nombre,codigo,hexadecimal,libro,cartilla
Monet Lavender,AP88-6,CFC9DF,Magic-Book-Nuevo,Ambiance Plus-64
Lavender Print,AP88-5,AAA0CA,Magic-Book-Nuevo,Ambiance Plus-64
Prophetic Purple,AP88-4,796B9F,Magic-Book-Nuevo,Ambiance Plus-64
Canyon Cloud,AP88-3,A39CC0,Magic-Book-Nuevo,Ambiance Plus-64
Heather Bunch,AP88-2,C5BED8,Magic-Book-Nuevo,Ambiance Plus-64
Pale Pansy,AP88-1,D6D1E0,Magic-Book-Nuevo,Ambiance Plus-64
Royal Mist,AP87-6,C2CDE4,Magic-Book-Nuevo,Ambiance Plus-64
Lady Di,AP87-5,91A1CD,Magic-Book-Nuevo,Ambiance Plus-64
Purple Empire,AP87-4,606FA5,Magic-Book-Nuevo,Ambiance Plus-64
Xerxes Blue,AP87-3,8E9DC0,Magic-Book-Nuevo,Ambiance Plus-64
Faded Violet,AP87-2,B5BFD7,Magic-Book-Nuevo,Ambiance Plus-64
Lilac Whisper,AP87-1,C2CCDD,Magic-Book-Nuevo,Ambiance Plus-64
Cool Lilac,AP86-6,BECFE4,Magic-Book-Nuevo,Ambiance Plus-64
Spring Crocus,AP86-5,8AA6D2,Magic-Book-Nuevo,Ambiance Plus-64
Blue Triumph,AP86-4,5673AA,Magic-Book-Nuevo,Ambiance Plus-64
Sedona Shadow,AP86-3,8BA3C6,Magic-Book-Nuevo,Ambiance Plus-64
Lilac Frost,AP86-2,AEC3DD,Magic-Book-Nuevo,Ambiance Plus-64
Blue Phlox,AP86-1,BDD0E2,Magic-Book-Nuevo,Ambiance Plus-64
Wisteria White,AP8-6,E4E1E0,Magic-Book-Nuevo,Ambiance Plus-64
Lilac Touch,AP85-6,B8CFE5,Magic-Book-Nuevo,Ambiance Plus-64
Blue Epic,AP85-5,82A8D4,Magic-Book-Nuevo,Ambiance Plus-64
Pharaoh S Purple,AP85-4,4E77AE,Magic-Book-Nuevo,Ambiance Plus-64
Mysteria,AP85-3,81A3C6,Magic-Book-Nuevo,Ambiance Plus-64
Yearning,AP85-2,AAC4DC,Magic-Book-Nuevo,Ambiance Plus-64
High Up,AP85-1,C5D8E4,Magic-Book-Nuevo,Ambiance Plus-64
Orchid Scent,AP8-5,E3DDDA,Magic-Book-Nuevo,Ambiance Plus-64
Blue Aura,AP84-6,AECFE6,Magic-Book-Nuevo,Ambiance Plus-64
Blue Emotion,AP84-5,76A9D6,Magic-Book-Nuevo,Ambiance Plus-64
Blue Award,AP84-4,427AB1,Magic-Book-Nuevo,Ambiance Plus-64
Fresco Blue,AP84-3,7AA6CA,Magic-Book-Nuevo,Ambiance Plus-64
Corner Cupboard,AP84-2,A2C4DE,Magic-Book-Nuevo,Ambiance Plus-64
Blue Feather,AP84-1,BAD0E2,Magic-Book-Nuevo,Ambiance Plus-64
White Wing,AP8-4,E5E2DA,Magic-Book-Nuevo,Ambiance Plus-64
Blue Lullaby,AP83-6,A9D4E8,Magic-Book-Nuevo,Ambiance Plus-64
Barbara Blue,AP83-5,6AAED9,Magic-Book-Nuevo,Ambiance Plus-64
Founder Blue,AP83-4,2680BC,Magic-Book-Nuevo,Ambiance Plus-64
