nombre,codigo,hexadecimal,libro,cartilla
Acero,5345,8B9298,Color de Línea,Domestic-Enamel
Naranja,5346,FF2D00,Color de Línea,Domestic-Enamel
Manzana,5347,689f3b,Color de Línea,Domestic-Enamel
Celeste Pastel,5348,64A3FF,Color de Línea,Domestic-Enamel
Rojo Profundo,5349,7F060B,Color de Línea,Domestic-Enamel
Aqua Marina,5350,26735D,Color de Línea,Domestic-Enamel
Blanco Brillante,5700,FCFFFA,Color de Línea,Domestic-Ultra
Blanco Mate,5701,FCFFFA,Color de Línea,Domestic-Ultra
Blanco Hueso,5702,E0CC92,Color de Línea,Domestic-Ultra
Champagne,5703,FCC174,Color de Línea,Domestic-Ultra
Amarillo Verano,5704,E3A532,Color de Línea,Domestic-Ultra
Amarillo Girasol,5705,FEA51A,Color de Línea,Domestic-Ultra
Rojo Fuego,5707,8C0011,Color de Línea,Domestic-Ultra
Tabaco,5711,29191C,Color de Línea,Domestic-Ultra
Pino Viejo,5714,0D231C,Color de Línea,Domestic-Ultra
Azul Laser,5716,82952,Color de Línea,Domestic-Ultra
Azul Media Noche ,5717,060A1C,Color de Línea,Domestic-Ultra
Gris Piedra,5718,3F413A,Color de Línea,Domestic-Ultra
Negro Brillante,5719,020202,Color de Línea,Domestic-Ultra
Bordeau Brow,154A,492D36,Color de Línea,Domestic-Wall
Verde Xelajú,1N1-4,7DF8b5,Color de Línea,Quetzaltenango
Celeste Santiago,1Q1-4,78BFCE,Color de Línea,Antigua-Guatemala
Amarillo Trigo,2H3-6,FF9B00,Color de Línea,Quetzaltenango
Rojo Tecomate,3D3-5,F56F72,Color de Línea,Quetzaltenango
Rojo Cochinilla,3D3-7,BA2F0F,Color de Línea,Quetzaltenango
Rojo Concepcion,3E2-6,CE3E2D,Color de Línea,Antigua-Guatemala
Rosa Güipil,3E3-4,F99677,Color de Línea,Quetzaltenango
Amarillo La Merced,3G2-6,EB8554,Color de Línea,Antigua-Guatemala
Amarillo Clásico,3I16,F4B34E,Color de Línea,Quetzaltenango
Amarillo Jocotenango,3I2-7,FCC854,Color de Línea,Antigua-Guatemala
Rojo Santo Domingo,4C2-8,361714,Color de Línea,Antigua-Guatemala
Rojo Hormigo,4E2-6,C2462E,Color de Línea,Quetzaltenango
Ocre,4F2-8,A44815,Color de Línea,Antigua-Guatemala
Amarillo Pensativo,4G3-6,ED914F,Color de Línea,Antigua-Guatemala
Amarllo Tridentino,4H1-8,7C380C,Color de Línea,Antigua-Guatemala
Celeste Colonial,4R2-5,9CB2D1,Color de Línea,Antigua-Guatemala
Celeste Culahá,5P2-3,95CDD7,Color de Línea,Quetzaltenango
Azul Añil,5R1-6,314769,Color de Línea,Quetzaltenango
Gris Cantera,6K1-6,786751,Color de Línea,Quetzaltenango
Celeste Luna,6M2-3,9BB6CC,Color de Línea,Quetzaltenango
Celeste Liberal,6N1-5,82AFC9,Color de Línea,Quetzaltenango
Altar,Altar,FFF8FD,Color de Línea,Centro-Historico
Atardecer,Atardecer,D5933C,Color de Línea,Centro-Historico
Blanco Jet,Blanco Jet,DADBD5,Color de Línea,Centro-Historico
Boulevard,Boulevard,D9C2A6,Color de Línea,Centro-Historico
Capricce,Capricce,82FFE5,Color de Línea,Centro-Historico
Catedral,Catedral,D9A300,Color de Línea,Centro-Historico
Celeste Cielo,Celeste Cielo,809EB5,Color de Línea,Centro-Historico
Celeste Deco,Celeste Deco,90AAFF,Color de Línea,Centro-Historico
Citron,Citron,FFFF61,Color de Línea,Centro-Historico
Corpus,Corpus,FFF8D8,Color de Línea,Centro-Historico
Dulce Zapote,Dulce Zapote,913328,Color de Línea,Centro-Historico
Ebony,Ebony,F0DEAB,Color de Línea,Centro-Historico
Melocoton,EN-57-01,FFB074,Color de Línea,Domestic-Ultra
Beige Claro ,EN-57-02,D7C07D,Color de Línea,Domestic-Ultra
Verde Limon,EN-57-03,589C57,Color de Línea,Domestic-Ultra
Beige Obscuro,EN-57-04,99825F,Color de Línea,Domestic-Ultra
Gris Granito,EN-57-05,635E5F,Color de Línea,Domestic-Ultra
Blanco Ostra,EN-57-06,9E9B95,Color de Línea,Domestic-Ultra
Verde Olivo,EN-57-07,457F47,Color de Línea,Domestic-Ultra
Blanco Vainilla,EN-57-08,CABE80,Color de Línea,Domestic-Ultra
Encaje,Encaje,FFC5C2,Color de Línea,Centro-Historico
Estación Central,Estación Central,856E3D,Color de Línea,Centro-Historico
Fatima,Fatima,F5B7BC,Color de Línea,Centro-Historico
Ferrocarril,Ferrocarril,A32829,Color de Línea,Centro-Historico
Flamingo,Flamingo,FF708C,Color de Línea,Centro-Historico
Frappé,Frappé,FFE5B6,Color de Línea,Centro-Historico
Gris Sexta ,Gris Sexta ,8C7C74,Color de Línea,Centro-Historico
Latte,Latte,F3AF57,Color de Línea,Centro-Historico
Melba,Melba,FF8A50,Color de Línea,Centro-Historico
Minerma,Minerma,F5D05E,Color de Línea,Centro-Historico
Mocca,Mocca,443529,Color de Línea,Centro-Historico
Moss,Moss,7F8C3E,Color de Línea,Centro-Historico
Noviembre,Noviembre,FF97A2,Color de Línea,Centro-Historico
Olvido,Olvido,986129,Color de Línea,Centro-Historico
Ovalle,Ovalle,FF8E48,Color de Línea,Centro-Historico
Pilastra,Pilastra,7E8287,Color de Línea,Centro-Historico
Pistaccio,Pistaccio,BDAD80,Color de Línea,Centro-Historico
Podium,Podium,004EC2,Color de Línea,Centro-Historico
Rafael,Rafael,F6F1E1,Color de Línea,Centro-Historico
Reforma,Reforma,FFEAB3,Color de Línea,Centro-Historico
Renacimiento,Renacimiento,F7F9FF,Color de Línea,Centro-Historico
Revolucion ,Revolucion ,BAA59E,Color de Línea,Centro-Historico
Romance,Romance,FFFDBA,Color de Línea,Centro-Historico
Rooseveth,Rooseveth,FEFFF4,Color de Línea,Centro-Historico
Shakespeare,Shakespeare,FAC2A7,Color de Línea,Centro-Historico
Sixtina,Sixtina,33527B,Color de Línea,Centro-Historico
Tamarindo,Tamarindo,EFCDBE,Color de Línea,Centro-Historico
Tiffany,Tiffany,F9F1FF,Color de Línea,Centro-Historico
Vainilla,Vainilla,F0B26C,Color de Línea,Centro-Historico
Verbena,Verbena,D12326,Color de Línea,Centro-Historico
Yerbabuena,Yerbabuena,82FFE5,Color de Línea,Centro-Historico
