code,name,hex
070B,Blues,#a1b7bc
071B,Blues,#beccc3
072B,Blues,#d9d6c3
073B,Blues,#1d4160
074B,Blues,#435a72
075B,Blues,#70869c
076B,Blues,#8093a2
077B,Blues,#aab0b2
078B,Blues,#ddd1bd
079B,Blues,#5f7594
080B,Blues,#778ea5
081B,Blues,#8fa7b8
082B,Blues,#a6b3b9
083B,Blues,#b6bdbd
084B,Blues,#c5c8bf
085B,Blues,#567b8f
086B,Blues,#6f92a4
087B,Blues,#89abb5
088B,Blues,#90b7bd
089B,Blues,#a4c2bd
090B,Blues,#c1cabc
091B,Blues,#1e6372
092B,Blues,#3f8492
093B,Blues,#65979e
094B,Blues,#85acaf
095B,Blues,#a7bfb8
096B,Blues,#ccd8c7
097B,Blues,#1c535f
098B,Blues,#41757f
099B,Blues,#6c8e8f
100B,Blues,#9fb1a9
101B,Blues,#a9bab2
102B,Blues,#d6d7c4
103B,Blues,#3a5252
104B,Blues,#597a78
105B,Blues,#8b9a90
106B,Blues,#a7b2a2
107B,Blues,#c3c0ad
108B,Blues,#ded5bd
109B,Blues,#3d676b
110B,Blues,#4b797d
111B,Blues,#678e8d
112B,Blues,#94ab9f
113B,Blues,#bbc5b1
114B,Blues,#cbcdb5
115B,Blues,#44677f
116B,Blues,#607d8a
117B,Blues,#728892
118B,Blues,#879ea2
119B,Blues,#b7c2b7
120B,Blues,#c9cdbf
121B,Blues,#344554
122B,Blues,#4a6071
123B,Blues,#607784
124B,Blues,#879192
125B,Blues,#9eaaa7
126B,Blues,#bcc2b8
127B,Blues,#455053
128B,Blues,#5c6f72
129B,Blues,#859291
130B,Blues,#a6aea7
131B,Blues,#bfbfb1
132B,Blues,#e0d8c1
133B,Blues,#454a51
134B,Blues,#606d7a
135B,Blues,#8f959a
136B,Blues,#b6b0a6
137B,Blues,#c5bbad
138B,Blues,#e0d0b8
139B,Blues,#4c5955
140B,Blues,#6d766f
141B,Blues,#838a7f
142B,Blues,#989f94
143B,Blues,#c7c1aa
144B,Blues,#e6d8bb
145B,Blues,#434242
146B,Blues,#575655
147B,Blues,#918d83
148B,Blues,#c1b9a6
149B,Blues,#e6d8be
150B,Blues,#f6e1bf
151B,Blues,#60594f
152B,Blues,#79756a
153B,Blues,#9e998a
154B,Blues,#bab09c
155B,Blues,#d5caaf
156B,Blues,#f1dfbe
157B,Blues,#65615a
158B,Blues,#8f867a
159B,Blues,#b9ad98
160B,Blues,#cec4ab
161B,Blues,#e9d9b9
162B,Blues,#eedebc
001G,Greens,#124042
002G,Greens,#105257
003G,Greens,#006d70
004G,Greens,#008c8d
005G,Greens,#4ca09d
006G,Greens,#7eb5a8
007G,Greens,#20453e
008G,Greens,#295d58
009G,Greens,#006e65
010G,Greens,#1b867b
011G,Greens,#009085
012G,Greens,#289587
013G,Greens,#284133
014G,Greens,#116149
015G,Greens,#007c5a
016G,Greens,#3a8f69
017G,Greens,#20976e
018G,Greens,#46b082
019G,Greens,#39492f
020G,Greens,#30512e
021G,Greens,#346e3d
022G,Greens,#46864d
023G,Greens,#479653
024G,Greens,#67ac63
025G,Greens,#11592c
026G,Greens,#2b6f37
027G,Greens,#477c32
028G,Greens,#6d922e
029G,Greens,#82ab33
030G,Greens,#93b84f
031G,Greens,#635626
032G,Greens,#666628
033G,Greens,#8e8f3c
034G,Greens,#9c9b33
035G,Greens,#b9c140
036G,Greens,#c0c855
037G,Greens,#796a25
038G,Greens,#867a22
039G,Greens,#b6a52c
040G,Greens,#cbbd0d
041G,Greens,#e0c639
042G,Greens,#d6c74d
043G,Greens,#c0c467
044G,Greens,#d4d56e
045G,Greens,#dfde7f
046G,Greens,#f6e599
047G,Greens,#f5e7a7
048G,Greens,#f3e3b2
049G,Greens,#9aba61
050G,Greens,#b8d17b
051G,Greens,#cddb8b
052G,Greens,#e1dd9d
053G,Greens,#e3dda6
054G,Greens,#f7e2b3
055G,Greens,#c0dd95
056G,Greens,#d0e3a3
057G,Greens,#eee6b8
058G,Greens,#f3e8bd
059G,Greens,#f7e9be
060G,Greens,#fae9c0
061G,Greens,#70c197
062G,Greens,#b3ddb2
063G,Greens,#dee8be
064G,Greens,#eee7be
065G,Greens,#f3e9c0
066G,Greens,#fae9c1
067G,Greens,#96c39a
068G,Greens,#9ec89f
069G,Greens,#abd8a8
070G,Greens,#c3daaf
071G,Greens,#e4deb5
072G,Greens,#ede1ba
073G,Greens,#91a97a
074G,Greens,#a5c48d
075G,Greens,#b2d499
076G,Greens,#c4dda6
077G,Greens,#dae4af
078G,Greens,#f3e5bb
079G,Greens,#427a5b
080G,Greens,#51956f
081G,Greens,#61a882
082G,Greens,#79bf96
083G,Greens,#c1dab0
084G,Greens,#e8e3b9
085G,Greens,#4a8d79
086G,Greens,#5ca58a
087G,Greens,#74bca2
088G,Greens,#a3cfb0
089G,Greens,#c1dbb7
090G,Greens,#d4e7c1
091G,Greens,#36796a
092G,Greens,#4c8f80
093G,Greens,#61a293
094G,Greens,#74b3a0
095G,Greens,#b9d3b5
096G,Greens,#e5e5c2
097G,Greens,#008b57
098G,Greens,#1fac72
099G,Greens,#66ba85
100G,Greens,#8dce9b
101G,Greens,#bbdfb0
102G,Greens,#d9e9bb
103G,Greens,#2b6f40
104G,Greens,#5a9967
105G,Greens,#7aa576
106G,Greens,#91bb89
107G,Greens,#b4cda1
108G,Greens,#d5dcb1
109G,Greens,#3f6f31
110G,Greens,#598342
111G,Greens,#88ab65
112G,Greens,#a8c285
113G,Greens,#d7dba1
114G,Greens,#e5e3b3
115G,Greens,#6ca830
116G,Greens,#81b043
117G,Greens,#a1c86b
118G,Greens,#bad381
119G,Greens,#dae3a0
120G,Greens,#f7e7b2
121G,Greens,#777730
122G,Greens,#a0954a
123G,Greens,#b4ae5a
124G,Greens,#bcb26b
125G,Greens,#d0c586
126G,Greens,#e8d6a2
127G,Greens,#a79646
128G,Greens,#c6ab4d
129G,Greens,#c1b867
130G,Greens,#e2d07d
131G,Greens,#e7d68f
132G,Greens,#e7db9f
133G,Greens,#698850
134G,Greens,#889055
135G,Greens,#99a761
136G,Greens,#bdc881
137G,Greens,#cbd196
138G,Greens,#e6d7a7
139G,Greens,#567447
140G,Greens,#718c5d
141G,Greens,#83a66d
142G,Greens,#a8c892
143G,Greens,#c0d09d
144G,Greens,#d9d2a5
145G,Greens,#627a47
146G,Greens,#6c7d50
147G,Greens,#7c996a
148G,Greens,#85a374
149G,Greens,#b0bf8e
150G,Greens,#dad8b0
151G,Greens,#45512b
152G,Greens,#5c653c
153G,Greens,#69784d
154G,Greens,#849860
155G,Greens,#a2b172
156G,Greens,#b0b883
157G,Greens,#3b432a
158G,Greens,#414c2f
159G,Greens,#6e714f
160G,Greens,#7f8b61
161G,Greens,#99a273
162G,Greens,#b8b993
163G,Greens,#283b2c
164G,Greens,#2e4331
165G,Greens,#516146
166G,Greens,#5d7458
167G,Greens,#809273
168G,Greens,#8ea07d
169G,Greens,#374136
170G,Greens,#2b4638
171G,Greens,#456150
172G,Greens,#57725d
173G,Greens,#6a896f
174G,Greens,#9da489
175G,Greens,#375148
176G,Greens,#517165
177G,Greens,#618577
178G,Greens,#819d8b
179G,Greens,#9eb09b
180G,Greens,#b1b8a1
181G,Greens,#474c3e
182G,Greens,#7a846e
183G,Greens,#b5b394
184G,Greens,#d3caaa
185G,Greens,#e6dab8
186G,Greens,#f7e4be
187G,Greens,#526943
188G,Greens,#83936d
189G,Greens,#afb790
190G,Greens,#d1cea4
191G,Greens,#ebe1b8
192G,Greens,#f2e3be
193G,Greens,#5c6b3a
194G,Greens,#758654
195G,Greens,#8f9965
196G,Greens,#a8ac7c
197G,Greens,#d2d2a5
198G,Greens,#eee3b6
199G,Greens,#636441
200G,Greens,#75774a
201G,Greens,#929165
202G,Greens,#aba479
203G,Greens,#d0c89b
204G,Greens,#e8d9b2
205G,Greens,#5a532b
206G,Greens,#655f31
207G,Greens,#939050
208G,Greens,#a4a26b
209G,Greens,#bab578
210G,Greens,#e0d49f
211G,Greens,#43402c
212G,Greens,#4f4c34
213G,Greens,#605a37
214G,Greens,#857d54
215G,Greens,#afa26e
216G,Greens,#e0c589
217G,Greens,#404134
218G,Greens,#5f604e
219G,Greens,#72715e
220G,Greens,#908c76
221G,Greens,#b1ad91
222G,Greens,#c1bb9e
223G,Greens,#42462a
224G,Greens,#67644a
225G,Greens,#837e5f
226G,Greens,#a3a07d
227G,Greens,#cbc29d
